
2024/10/25 (19:05:10) | ===> btop++ v.1.4.0
2024/10/25 (19:05:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:07:58) | ===> btop++ v.1.4.0
2024/10/25 (19:07:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:08:28) | ===> btop++ v.1.4.0
2024/10/25 (19:08:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:10:48) | ===> btop++ v.1.4.0
2024/10/25 (19:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:11:48) | ===> btop++ v.1.4.0
2024/10/25 (19:11:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:12:11) | ===> btop++ v.1.4.0
2024/10/25 (19:12:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:12:30) | ===> btop++ v.1.4.0
2024/10/25 (19:12:30) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (19:17:07) | ===> btop++ v.1.4.0
2024/10/25 (19:17:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/25 (22:36:09) | ===> btop++ v.1.4.0
2024/10/25 (22:36:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (11:58:49) | ===> btop++ v.1.4.0
2024/10/26 (11:58:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (22:38:14) | ===> btop++ v.1.4.0
2024/10/26 (22:38:14) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/26 (22:38:18) | ===> btop++ v.1.4.0
2024/10/26 (22:38:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/27 (15:28:39) | ===> btop++ v.1.4.0
2024/10/27 (15:28:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (17:02:43) | ===> btop++ v.1.4.0
2024/10/29 (17:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/29 (21:44:05) | ===> btop++ v.1.4.0
2024/10/29 (21:44:05) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/01 (16:39:58) | ===> btop++ v.1.4.0
2024/11/01 (16:39:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/02 (17:52:13) | ===> btop++ v.1.4.0
2024/11/02 (17:52:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/03 (23:33:36) | ===> btop++ v.1.4.0
2024/11/03 (23:33:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (10:06:34) | ===> btop++ v.1.4.0
2024/11/08 (10:06:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (15:05:00) | ===> btop++ v.1.4.0
2024/11/09 (15:05:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/09 (20:00:04) | ===> btop++ v.1.4.0
2024/11/09 (20:00:04) | WARNING: Intel GPU: Failed to initialize PMU
